c5500000,s1,I have stayed in St Regis hotels all over the world and generally like the brand
c5500000,s2,But this place underwhelmed me in most respects
c5500000,s3,"Apart from having good service and a nice breakfast, the rest is substandard"
c5500000,s4,It was a pain to get here from the ferry terminal
c5500000,s5,Other reviewers noted the difficulty finding the shuttle and clearly nothing has been done to fix that
c5500000,s6,"When I finally arrived, I was greeted with the annoying â€˜thanks for being an Ambassador Elite member, but we couldnâ€™t get you an upgradeâ€™"
c5500000,s7,"The room was generic, sterile and dated (even though the hotel is relatively new)"
c5500000,s8,The view from the room was of the building next door
c5500000,s9,A fruit bowl amenity without a welcome note
c5500000,s10,The hotel bar was too full to accommodate meâ€”no seats left
c5500000,s11,They did do a decent job with happy hourâ€¦
c5500001,s1,It's not easy to find the hotel shuttle bus at the ferry terminal and I didn't see any staffs at the ferry guiding us to the shuttle bus
c5500001,s2,"When I reached the hotel, it doesn't stop at the hotel but another hotel and I have to walk"
c5500001,s3,"The breakfast at Menor Restaurant is good, I am impressed by the egg station"
c5500001,s4,Perhaps I should not go to Macao during festival seasons
c5500002,s1,"The bellman is very helpful, helped me with my luggage when I arrived"
c5500002,s2,Then a friendly staff escorted me to check-in
c5500002,s3,Same feeling as my last stay at St
c5500002,s4,Regis Singapore a few years back
c5500002,s5,"Luxury!   Unfortunately, there was some problem with the phone but it doesnâ€™t stop me going to this hotel again in the future"
c5500003,s1,Overall average
c5500003,s2,I feel that the service of Conrad Macau is a bit better
c5500003,s3,"I expected it will be the same as other St Regis, but I feel that others are more luxury"
c5500003,s4,"The room view is not so good,I can see whats in the other hotel room, maybe vice versa?"
c5500004,s1,"Unlike my past stay and dining experiences here, the hotel lobby was full of tourists waiting for check-in"
c5500004,s2,I cannot expect no wait but I waited for my good 20 minutes
c5500004,s3,"When it was my turn, the agent was nice talking with me recommending me the hotel facilities, but didnâ€™t notice that I was tired!"
c5500005,s1,Very spacious room and the bedding is very comfortable!    Easy to access to the mall and is convenient
c5500005,s2,Casino entrance is just next to the hotel entrance
c5500005,s3,"The equipment is updated and clean, but the changing room in the gym is quite small and thereâ€™s not enough shower facilities"
c5500006,s1,I was hestitated when my husband asked me to choose a hotel for just a 1 night transit in Macau and I booked this hotel because it has the lowest price comparing with the same class hotels nearby and we found we made the right decision
c5500006,s2,The room is very clean
c5500006,s3,The room service staff who took our order not really understand my husband's request
c5500006,s4,"Anyways, I appreciated the male staff who helped to helped us to press my huaband's shirt as well the complimentary coffee"
c5500006,s5,We took shuttle from the airport however the shuttle did not stop at hotel entrance but stopped at another hotel and we had a long walk through the mall to the hotel
c5500006,s6,We had a lot of luggage and took taxi to ferry port instead of shuttle
c5500007,s1,"In the context of a St Regis, this property is just an average one"
c5500007,s2,It looks very aged
c5500007,s3,"You can tell the towels are really ""used"""
c5500007,s4,The location is nice
c5500007,s5,But Macao is small anyways
c5500007,s6,The breakfast options are oK but nothing exciting
c5500007,s7,The staff is keeping the St Regis standards
c5500007,s8,"Very professional and helpful, from front desk to bell boys"
c5500008,s1,High standard high end brand of this hotel group
c5500008,s2,Check in took time
c5500008,s3,Haha
c5500008,s4,Room is average
c5500008,s5,The restaurant manor was good
c5500008,s6,I like the bloody Mary cocktail here
c5500008,s7,Many things should be improved
c5500008,s8,A bit disappointed
c5500009,s1,Helicoptered over to Macau w family for two nights - three days w family
c5500009,s2,check in efficient butler service welcoming but this hotel not up to St Regus standards by any means
c5500009,s3,"Awkwardly tucked in a corner of a casino , many tiles in pool missing, and operator reception not attentive"
c5500009,s4,we spent most of our social time at Four Seasons
c5500009,s5,they have work to do here
c5500010,s1,Very classy hotel
c5500010,s2,But Macau can be boring for adventurers of historic places and original landmarks
c5500010,s3,Best to travel with authentic friends and family members
c5500010,s4,If you want to gamble your savings go ahead as people gamble even in the morning
c5500010,s5,Porkfloss cookie (?) was so-so
c5500011,s1,"As one of the best luxury hotel chains in the world, this definitely attracts me to choose St"
c5500011,s2,Regis to stay at
c5500011,s3,I am actually a frequent traveler to travel to Macau due to the reason of the food are so good and it is very relaxing as a travel destination and also it is very near to my hometown
c5500011,s4,"Normally I used to stay at Wynn Macau, Venetian, or Hard rock (unfortunately it's gone), but as the reason I mentioned above, so I chose to stay at St"
c5500011,s5,Regis this time
c5500011,s6,I was overwhelmed by the St
c5500011,s7,"Regis unique butler service but however, I think the butler service that I experienced was the best service among the other services that I have experienced during my stay with St"
c5500011,s8,Regis
c5500011,s9,"When I stayed at Venetian, they proactively offered bottled water like it doesn't cost them any money, butâ€¦"
c5500012,s1,Stayed at the Ritz Carlton for CNY in 2016 so I thought I would try the St
c5500012,s2,Regis this year
c5500012,s3,"While the property is nice and the Sands Cotai layout is similar to the Galaxy, maybe even more convenient since it is connected to the Parisian, the Venetian the City of Dreams"
c5500012,s4,"But, when it comes to the Room, the service and the culinary experience, the St"
c5500012,s5,Regis is definitely not on par with the Ritz
c5500012,s6,"For example, every time you call for service, the message devotes 5 minutes reminding you in 3 languages that the conversation will be recorded"
c5500012,s7,"Also, since there is no Lounge, the breakfast at the Manor seems ill prepared for the large crowd"
c5500012,s8,The food at the Manor is also average at best and selection limited
c5500012,s9,The staff is also poorly trained - they forgot to put new place matsâ€¦
c5500013,s1,"As a Platinum member of SPG, I had expectations whilst booking this hotel"
c5500013,s2,Those expectations were dashed as the rooms were filled up during the seasonal period and room availability for the larger rooms was tight
c5500013,s3,"It would be peculiar to give a 5 star hotel a rating of only average, but note that this is done as a direct comparison to the other Cotai Hotels in the same building link"
c5500013,s4,"If I was comparing the St Regis to the one in Osaka, then it would receive 5 stars because of the pricing difference"
c5500013,s5,This wouldn't be a fair comparison
c5500013,s6,"I have stayed in all the Cotai strip Sands Group owned properties; St Regis, Conrad, Holiday Inn and Sheraton"
c5500013,s7,"I have also stayed in the Venetian across the road, but I'll exclude this one from the comparison as the 4 hotel chains hereâ€¦"
c5500014,s1,I've stayed in St Regis before and butler means butler
c5500014,s2,This hotel provides the butler service but not up to the expectation
c5500014,s3,"The butler, cant remember the name, cant speak english well, cant differentiate left or right"
c5500014,s4,"Also, we requested tea from different butlers all the time but a different person will come and deliver all the time"
c5500014,s5,Which one should I tip then?  The concierge and bell boy were much more warm and knowledgeable
c5500014,s6,"Overall, for the price you pay at this hotel, only the room made it worth it"
c5500014,s7,"The facilities, swimming pool, spa etc is not up to par for a St Regis Starwood expectations"
c5500015,s1,The place is relaxing but the food is not that good
c5500015,s2,They serve breakfast buffet exactly the same everyday ğŸ˜”
c5500015,s3,"Staff(s) are very nice and friendly especially Genevie Abuel, Francis and Enzo (st"
c5500015,s4,Regis bar)
c5500016,s1,"We requested for a non-smoking room on a non-smoking floor but on one occasion coming out of the lift, we have seen cigarette buds (yes, a few!) lying around several spots of the marbled lift lobby as well as the top of the trash can"
c5500016,s2,I think this is probably a Macau-wide issue that high-end hotels such as St Regis or other SPG hotels have to face on a daily-basis (with the casino giving out free rooms to gamblers)
c5500016,s3,"The issue I have is why, after quite a few years of operations, have they not come up with a solution in addressing this kind of situation? It is very unfair to true non-smokers and families who have definitely paid more than the guests who received these rooms for free through the casinos but aren't treated with the same level of respect"
c5500016,s4,Simply saying that youâ€¦
c5500017,s1,"Was a new property, hence the teething issues but nothing to complain about"
c5500017,s2,The service was fantastic
c5500017,s3,"Bellmen, Butler, Front Office were extremely efficient and courteous throughout the stay"
c5500017,s4,Had a serious ceiling leakage outside the bathroom started just after 1am on the night I stayed
c5500017,s5,The dripping noise was rather loud and caused some sleeplessness
c5500017,s6,"But to the the hassle of shifting rooms, it was not brought up till the next morning, when it was promptly rectified"
c5500017,s7,No turndown service as I arrived rather late
c5500017,s8,Breakfast was average
c5500017,s9,"Overall, a rather average stay"
c5500018,s1,Macau is an island to easy access of hotel and casino thanks to the complementary buses 24/7
c5500018,s2,I was there for a hotel hop for a night in  St Regis Cotai
c5500018,s3,"From the Harbour to the hotel, I managed to hop on to the Sands bus (that indicate to St Regis) but however missed the stop due to not drop off point at the lobby of St Regis"
c5500018,s4,You have to drop at Conrad and walk into the narrow path to the side of the hotel check in counter
c5500018,s5,The check in is fast and smooth and within 5 minutes I could able to get my room card and check in procedure done
c5500018,s6,The Butler introduced himself and was usher to the room
c5500018,s7,"The room was simplify, cosy, spacious yet luxury and the view was beautiful, able to see hard rock hotel and far view of Macau main island"
c5500018,s8,The breakfast was kinda limited choiceâ€¦
c5500019,s1,"I saw an opening special for the hotel of $1,888 and decided to take advantage of it as opening specials are usually excellent"
c5500019,s2,I secured a room months in advance but was disappointed to watch promotions come up which continued to drop below the price I paid and then have extras thrown in also
c5500019,s3,I felt penalized for being so committed and organized to trying out this hotel!  The spa was difficult to book at
c5500019,s4,I saw an ad on facebook and couldn't for the life of me find the contact phone number on the ad or spa webpage
c5500019,s5,I rang the hotel and asked to be put through to the spa
c5500019,s6,It seemed I was put through to the bar instead and they tried to again transfer me to the spa but no one answered
c5500019,s7,I continued to call back later that day
c5500019,s8,I would have preferred to have made a requestâ€¦
c5500020,s1,Service throughout especially on food and beverage side has great scope of development
c5500020,s2,Meal quality and choices can be improved
c5500020,s3,I stayed in a room looking out onto the outdoor pool of Hard Rock Hotel and was bombarded by their hard rock music from late afternoon till late evening
c5500020,s4,There's no where in the hotel to go for escape from this serious pollution
c5500020,s5,The main entrance is on the side; so private that no taxi would come even on call! Of course I'm an ordinary tourist not wanting the luxury of going to Cotai ferry terminal on a chauffeur driven limousine
c5500020,s6,No shuttle either
c5500020,s7,"I ended up getting a taxi from the hotel next door! Fortunately, l travelled light"
c5500020,s8,There is no survey received after my stay
c5500020,s9,I've always enjoyed St
c5500020,s10,Regis hotels such as the ones in Bankok andâ€¦
c5500021,s1,Stayed in this hotel with family
c5500021,s2,Absolutely stunning!!
c5500021,s3,Personalised service ensured by the butler service
c5500021,s4,Good veiw of Cotai from the room
c5500021,s5,Special care taken to ensure that guests enjoy every moment of their stay in this wonderful city
c5500022,s1,"The St Regis macau is a very new hotel in Cotai area, location is great and very convenient, the room and facility is great and beautiful, I'd say service to be improved, it is not bad but not good enough, I will come back to stay again and hope it'll gets better"
c5500023,s1,There are many  excellent things about the hotel but I think there are a variety of teething problems
c5500023,s2,"Lights in the room are all or nothing, it seems impossible to get pleasant low lighting"
c5500023,s3,"The room looks unfinished in a way; they are large but seem empty, as if some items are not yet in the room"
c5500023,s4,"Furnishings are bright and not really to my personal taste, it looks less classy than I would expect for the price"
c5500023,s5,"The lack of a desk despite having so much space seems strange, as does keeping the hairdryer in the living room rather than the dressing room"
c5500023,s6,Using the shower head in the bath is very difficult as it just springs back to it's holder constantly
c5500023,s7,Water pressure in the shower is a bit variable
c5500023,s8,Service is very friendly indeed - Stella and the team in the bar inâ€¦
c5500024,s1,The room is very nice
c5500024,s2,The butlers are very helpful
c5500024,s3,The spa is wonderful
c5500024,s4,"However, there were several things I did not like"
c5500024,s5,The fitness centre is very small
c5500024,s6,"There are 8 techno gym machines, 8 cardio machines, a smith machine, and dumbells"
c5500024,s7,"As far as hotel gyms go, I would rate this as below average"
c5500024,s8,The one plus is that it was fairly empty
c5500024,s9,I had great difficulty communicating with the room service staff
c5500024,s10,There English was not good and they had great difficulty taking my order
c5500024,s11,Housekeeping was very late
c5500024,s12,"When I left at 9 in the morning, my butler asked me if I wanted my room cleaned then"
c5500024,s13,I said yes
c5500024,s14,"When I returned at 5pm, it was not cleaned and I had to call and ask for it to be cleaned"
c5500024,s15,"And no, the do not disturb sign was not on"
c5500024,s16,"After it was cleaned, Iâ€¦"
c5500025,s1,"was at St Regis Macau for a couple of nights for a company offsite, overall was a decent experience especially after reading all the negative reviews, did not expect too much"
c5500025,s2,"Overall we were happy with the stay at the hotel, the staff seem a bit new and maybe just settling in, but overall attitude was very nice and overall very friendly"
c5500025,s3,rooms and food: The rooms were nice enough but quality of the furnishing not necessarily St Regisâ€™ standard
c5500025,s4,I
c5500025,s5,E
c5500025,s6,not sure if it was just a matter of taste but I thought the round table in the room looked rather cheap
c5500025,s7,The knob to go from handshower to rainshower was broken and staff forgot to replenish the vanity material in the bathroom
c5500025,s8,"I ate two dinners the first night, 1st at the Tasting Room (two Michelin stars) and just acrossâ€¦"
c5500026,s1,"New, clean and good interior"
c5500026,s2,Although you would expect a bit more for a St
c5500026,s3,Regis standard
c5500026,s4,"Checking in was alright, though took a bit of time for the process"
c5500026,s5,"Upon checking out and before we had our breakfast, we had informed the receptionist to prepare our luggage to be carried down to the lobby"
c5500026,s6,"However, luggage was still in the room even after we had our meal"
c5500026,s7,"Even so, after being informed the second time, it took them awhile to bring down our luggage"
c5500026,s8,"Understand that we had to catch a cab then a ferry, before our flight"
c5500026,s9,"Most importantly, breakfast at The Manor was very very limited with choices, and service was not ok"
c5500026,s10,Need to seriously retrain their service to a St
c5500026,s11,Regis worldwide standard
c5500026,s12,Somehow service felt like as if dining in some casual 24 hr diner-â€¦
c5500027,s1,Stayed over the late December and had a couple of observations
c5500027,s2,"1) Their one restaurant ""The Manor"" is woefully understaffed"
c5500027,s3,Staff were also woefully under trained
c5500027,s4,They should have poached top talent from surrounding properties but looks like all the got were the leftovers
c5500027,s5,2) Check-in was also a 30 minute ordeal
c5500027,s6,No SPG Elite priority check-in available
c5500027,s7,"3) Rooms were very nice, bed was great"
c5500027,s8,Amenities were nice (Remede toiletries and complimentary Evian for Suites)
c5500027,s9,4) Plumbing fixtures were already malfunctioning
c5500027,s10,Handshower to Rainshower lever was broken
c5500027,s11,Shower was leaking into the toilet area
c5500027,s12,etc etc
c5500027,s13,Every one from the room butler to the front office were very courteous but there were many teething issues
c5500027,s14,I think they rushed the opening a little on thisâ€¦
c5500028,s1,"å› ç‚ºæ–°æ¥­çš„å•é¡Œ, æ‰€ä»¥å¾ˆå¤šæˆ¿é–“éƒ½æ²’æœ‰é–‹æ”¾ä½¿ç”¨ã€‚ è€Œå“¡å·¥å› ç‚ºé‚„æœªç†Ÿæ‚‰å·¥ä½œæµç¨‹æ‰€ä»¥ check-in ä»¥åŠcheck-out é€Ÿåº¦å¾ˆæ…¢ã€‚ ä½†ç‚ºæˆ‘ check in çš„ Kim (æ‡‰è©²æ˜¯éŸ“åœ‹äºº) å°å§å¾ˆå¥½ç¬‘å®¹, å¥¹ä¹Ÿä¸å¥½æ„æ€ä¸€ç›´å°æŠ±æ­‰ã€‚  ä»Šæ¬¡å…¥ä½çš„æ˜¯ Suite, åˆ†é–‹ä¸€ living room and bed room, é‚„æœ‰ è¡£æˆ¿, å¯æ˜¯è¨­è¨ˆåœ¨ bed room è·Ÿ bathroom ä¸­é–“, é€™æ¨£å¾ˆä¸æ–¹ä¾¿ã€‚  é¦–å…ˆè¬›è¬› Bathroom, WCç”¨çš„æ˜¯ TOTO, å¯æ˜¯æœ€æ™®é€šçš„æ¬¾, ä»¥ç‚º suite æœƒæœ‰ Neorest æˆ–æ˜¯ Washletã€‚ Basin çš„ç‰Œå­ Decolav ã€‚MIXERå°±æ˜¯ç”¨ Hansgroheã€‚æ´—æ‰‹é–“ç”¨çš„æ˜¯ç™½é›²çŸ³æ„Ÿè¦ºã€‚å¾ˆç°¡æ½”, ä½†æœ€æ•—åŒ—æ˜¯ shower room é–‹é–€çš„æ–¹å‘, å¾ˆä¸æ–¹ä¾¿æ‹¿å°ä¸Šçš„æ±è¥¿ã€‚  Bedroom æ–¹é¢, åºŠé ­éƒ½æº–å‚™äº† USB å­”, ä»¥åŠ B&O bluetooth speaker"
c5500028,s2,"é›»è¦–ç”¨äº† LGã€‚ åºŠæ˜¯ç”¨äº†ç”šéº¼ç‰Œå­? å¿˜äº†, æ„Ÿè¦ºé‚„å¥½ã€‚çª—ç°¾æ˜¯ç”¨é›»åˆ¶é–‹é—œ, é€™æ–¹é¢æ¯”å…¶ä»–çš„ St"
c5500028,s3,"Regis æœ‰é» low class, é›»åˆ¶é‚„æœ‰é»æå‚· (æ–°é–‹å¼µ)ã€‚  Living room éƒ¨ä»½æœ‰å®¢å», æœ‰ table, æœ‰ tea table æœ‰ sofa, æœ‰ LG, æœ‰ minibar, æœ‰å’–å•¡æ©Ÿå®Œ"
c5500028,s4,ååˆ†ç°¡é™‹çš„è¨­è¨ˆã€‚å®Œå…¨ä¸é” St
c5500028,s5,Regis ç´šæ•¸ã€‚æ˜¯ä»¿ St
c5500028,s6,"Regis !?  æˆ¿å¤–çš„æŒ‡ç¤ºç‰Œä¹Ÿååˆ†æ··äº‚, æˆ‘æƒ³å»å€‹ Gym Room ä¹Ÿå¾—èŠ±ä¸Šäº†åŠå¤©æ‰æ‰¾åˆ°ã€‚  æ˜¯æ¬¡å…¥ä½çš„å¤±æœ›æ„Ÿå¤ªå¼·å¤§"
c5500029,s1,Lucky enough to have stayed in a few St Regis around the world
c5500029,s2,"As I sit here, in a perfectly nice room, with great connectivity and a number of charge points"
c5500029,s3,I reflect upon comparisons with my other experiences
c5500029,s4,"The Macau St Regis is the newest hotel on Cotai sands, which also house a Sheraton, Conrad and Holiday Inn"
c5500029,s5,"The main entrance is on the side of the resort, so if you catch the free shuttle bus, you need to walk a couple of minutes and enter via Holiday Inn entrance"
c5500029,s6,"Entering reception a bell boy takes your bags, and shows you to a seat whilst you wait for a receptionist"
c5500029,s7,"We booked via a hotel website, so as usual, no points, on Starwood card, but my issue with this, is that they don't know who you are, your preferences or loyalty level"
c5500029,s8,Checked on a rollaway bed forâ€¦
